Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api1,1724,0,210.0,401.962415719257,197.1835000000226,13313.599199999999,9.0,11.088512195217923,0.0,210,220,420,620,740,1000,1700,2500,7000,13000,13000
POST,/api2,1732,0,210.0,425.1091487297922,197.2284000000002,7424.899600000003,9.0,11.139967008188773,0.0,210,220,610,630,860,1100,1900,2700,6800,7400,7400
,Aggregated,3456,0,210.0,413.56257242476937,197.1835000000226,13313.599199999999,9.0,22.228479203406696,0.0,210,220,610,620,820,1100,1900,2500,6900,13000,13000
