序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2942,601225,陕西煤业,19.59,0.1,0.02,450711.0,872447068.0,4.19,19.69,18.87,19.4,19.57,1.02,0.46,6.87,1.72,189925050000.0,189925050000.0,0.0,0.0,1.71,5.44
2943,603173,福斯达,29.68,0.1,0.03,49293.0,145545445.0,4.38,30.1,28.8,29.21,29.65,1.1,12.32,33.68,3.6,4748800000.0,1187200000.0,0.1,-0.03,-8.76,59.14
2944,603019,中科曙光,50.75,0.1,0.05,1168156.0,5934901127.0,4.79,52.15,49.72,49.99,50.7,0.66,8.05,141.83,4.33,74298709181.0,73624495431.0,0.06,-0.37,102.19,129.22
2945,001286,陕西能源,10.18,0.1,0.01,399923.0,407726634.18,1.28,10.25,10.12,10.17,10.17,0.63,5.5,11.15,1.67,38175000000.0,7405926576.0,0.0,0.0,6.04,6.04
2946,873122,中纺标,10.24,0.1,0.01,759.0,773258.89,1.86,10.29,10.1,10.17,10.23,0.47,0.71,309.96,2.88,946555986.0,108979200.0,0.79,0.69,-16.07,-9.38
2947,601117,中国化学,10.6,0.09,0.01,1139927.0,1206999033.0,4.25,10.77,10.32,10.6,10.59,1.46,1.88,14.57,1.2,64760388233.0,64124812233.0,-0.09,0.09,19.5,33.5
2948,002806,华锋股份,10.77,0.09,0.01,28773.0,31032504.6,2.51,10.95,10.68,10.7,10.76,0.96,1.93,-37.47,1.79,2039779077.0,1606047106.0,0.09,0.0,-15.4,5.9
2949,002058,威尔泰,10.82,0.09,0.01,14368.0,15548322.9,3.98,10.94,10.51,10.51,10.81,1.09,1.0,-64.85,10.07,1552110952.0,1548534390.0,0.28,-0.09,-17.47,-3.13
2950,002043,兔 宝 宝,10.87,0.09,0.01,76102.0,82440739.8,1.66,10.91,10.73,10.8,10.86,0.75,1.1,30.78,3.15,9177138364.0,7536757089.0,0.0,-0.09,-21.74,0.09
2951,605166,聚合顺,10.88,0.09,0.01,25018.0,27081132.0,2.48,10.98,10.71,10.81,10.87,1.16,1.33,17.12,2.14,3433259834.0,2041252092.0,0.0,-0.09,-14.06,-10.89
2952,002202,金风科技,10.97,0.09,0.01,173403.0,189364242.32,1.64,10.98,10.8,10.88,10.96,0.82,0.51,9.38,1.28,46348992088.0,37225894508.0,0.0,0.0,-5.1,-0.27
2953,002190,成飞集成,22.11,0.09,0.02,27075.0,59925832.52,1.9,22.38,21.96,22.04,22.09,0.75,0.75,783.58,2.44,7931505774.0,7931505774.0,-0.09,-0.09,-29.79,-15.12
2954,600032,浙江新能,11.31,0.09,0.01,27498.0,31198785.0,1.24,11.42,11.28,11.37,11.3,0.85,1.32,56.18,2.31,27196877914.0,2352480000.0,0.0,-0.09,-6.99,-1.57
2955,837663,明阳科技,11.33,0.09,0.01,3325.0,3731703.14,2.56,11.38,11.09,11.3,11.32,0.96,2.56,11.66,1.77,584628000.0,146971514.0,0.27,0.27,-31.46,-31.46
2956,002136,安 纳 达,11.56,0.09,0.01,28130.0,32371611.47,1.56,11.6,11.42,11.53,11.55,0.55,1.31,20.37,2.09,2485631200.0,2476916810.0,0.09,0.09,-25.23,-14.94
2957,605507,国邦医药,23.18,0.09,0.02,19819.0,45861812.0,1.38,23.27,22.95,23.05,23.16,0.76,0.66,16.64,1.76,12953528730.0,6993920271.0,-0.04,0.04,-18.72,-12.43
2958,301203,国泰环保,36.2,0.08,0.03,3587.0,12968646.61,1.24,36.3,35.85,36.1,36.17,0.59,2.1,23.47,1.26,2896000000.0,617850523.0,0.0,0.06,-21.53,-21.53
2959,002096,南岭民爆,12.21,0.08,0.01,29898.0,36717233.0,2.46,12.42,12.12,12.2,12.2,0.85,0.81,26.51,2.62,13715406480.0,4533414270.0,-0.08,-0.08,-14.32,-6.51
2960,001270,铖昌科技,122.15,0.08,0.1,9021.0,110142926.55,3.92,123.96,119.18,121.0,122.05,0.61,3.23,279.72,9.92,13657951354.0,3414520025.0,0.02,0.26,3.23,0.12
2961,600529,山东药玻,24.6,0.08,0.02,50676.0,124659163.0,1.99,24.81,24.32,24.6,24.58,0.57,0.85,24.51,2.29,16324907180.0,14636206576.0,-0.08,-0.12,-15.55,-13.38
2962,002119,康强电子,12.39,0.08,0.01,109552.0,134650167.35,2.42,12.45,12.15,12.3,12.38,0.76,2.92,60.14,3.73,4649768760.0,4649768760.0,0.08,0.0,-4.4,8.4
2963,600596,新安股份,12.51,0.08,0.01,77916.0,97301819.0,1.36,12.57,12.4,12.44,12.5,0.68,0.76,33.74,1.23,14333289215.0,12876124415.0,-0.08,-0.08,-22.83,-17.37
2964,002507,涪陵榨菜,25.81,0.08,0.02,138367.0,356235080.54,2.4,26.08,25.46,25.79,25.79,1.18,1.58,21.91,2.86,22909730868.0,22652718656.0,0.0,0.0,-3.77,0.16
2965,600479,千金药业,13.37,0.07,0.01,246013.0,328568944.0,4.42,13.6,13.01,13.01,13.36,1.31,5.88,32.73,2.54,5747590754.0,5595440154.0,-0.22,-0.15,32.9,39.27
2966,300521,爱司凯,13.38,0.07,0.01,11374.0,15102225.0,2.99,13.48,13.08,13.37,13.37,0.66,0.79,-103.27,3.87,1926720000.0,1926707356.0,0.15,0.07,0.6,34.88
2967,300349,金卡智能,13.43,0.07,0.01,87460.0,116056536.05,3.73,13.5,13.0,13.37,13.42,0.75,2.29,17.76,1.45,5762199585.0,5120336210.0,0.07,0.07,15.08,43.33
2968,601838,成都银行,13.75,0.07,0.01,285363.0,390505603.0,2.4,13.84,13.51,13.62,13.74,0.81,0.77,5.08,0.9,51366373575.0,51254794003.0,0.07,-0.07,-2.9,-10.13
2969,605298,必得科技,13.8,0.07,0.01,7754.0,10650963.0,3.41,13.84,13.37,13.37,13.79,1.34,1.81,581.06,1.99,1937520000.0,592020000.0,0.0,-0.07,-2.82,7.06
2970,002324,普利特,14.17,0.07,0.01,108913.0,155687824.61,3.18,14.53,14.08,14.16,14.16,0.56,1.62,34.8,4.91,14417010264.0,9502074404.0,-0.21,-0.28,-22.48,-11.44
2971,300695,兆丰股份,43.9,0.07,0.03,2141.0,9376208.0,1.55,44.05,43.37,43.9,43.87,0.83,0.3,31.32,1.32,3113821381.0,3113821381.0,-0.09,-0.09,-5.69,1.57
2972,603698,航天工程,14.78,0.07,0.01,27923.0,41243331.0,1.69,14.89,14.64,14.75,14.77,0.96,0.52,59.7,2.5,7921932200.0,7921932200.0,0.0,0.0,-1.14,23.58
2973,002402,和而泰,15.66,0.06,0.01,131644.0,205262962.08,2.3,15.76,15.4,15.62,15.65,0.68,1.64,44.6,3.39,14594191127.0,12560427334.0,-0.06,0.0,-5.89,8.15
2974,688485,九州一轨,15.93,0.06,0.01,6638.0,10565666.0,1.7,16.03,15.76,15.76,15.92,0.15,2.07,-40.79,1.8,2394152548.0,509828451.0,0.0,0.0,-16.33,-8.82
2975,688339,亿华通-U,80.33,0.06,0.05,8721.0,70446652.0,3.56,82.44,79.58,80.41,80.28,0.84,1.07,-61.44,2.94,9494189606.0,6532530791.0,0.01,0.16,-5.28,8.55
2976,000581,威孚高科,16.73,0.06,0.01,95549.0,160997645.17,2.45,16.99,16.58,16.68,16.72,0.92,1.16,10.17,0.93,16866739192.0,13788890376.0,0.06,-0.12,-9.71,-5.64
2977,002657,中科金财,16.91,0.06,0.01,101446.0,173276301.91,3.02,17.42,16.91,17.28,16.9,0.91,3.41,-101.92,2.88,5708421760.0,5027747538.0,0.0,-0.12,-7.29,8.12
2978,300568,星源材质,17.24,0.06,0.01,103790.0,178852297.16,2.32,17.48,17.08,17.12,17.23,0.44,0.9,30.2,2.56,22096973825.0,19808888921.0,0.0,0.0,-27.56,-18.91
2979,300566,激智科技,17.36,0.06,0.01,38826.0,67778011.26,2.88,17.65,17.15,17.41,17.35,0.78,1.7,40.6,2.71,4578553308.0,3961960533.0,0.0,0.0,-33.41,-34.98
2980,605183,确成股份,17.56,0.06,0.01,13677.0,23887752.0,1.82,17.65,17.33,17.65,17.55,1.03,1.01,21.81,2.67,7329545756.0,2381356554.0,-0.11,-0.17,-19.04,-7.04
