序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,688081,兴图新科,25.62,20.0,4.27,36379.0,88620275.0,20.75,25.62,21.19,21.19,21.35,5.73,4.94,7909.1,3.16,1885632000.0,1885632000.0,0.0,0.0,17.31,54.71
2,300024,机器人,13.38,20.0,2.23,1204287.0,1537658897.99,19.91,13.38,11.16,11.16,11.15,9.43,7.98,-116.55,4.92,20741835891.0,20191456335.0,0.0,0.0,27.55,49.0
3,300788,中信出版,39.25,19.99,6.54,130065.0,483152829.33,16.66,39.25,33.8,34.0,32.71,2.24,6.84,44.39,3.55,7463446964.0,7463446964.0,0.0,0.0,76.17,93.83
4,872808,曙光数创,160.38,17.49,23.87,23189.0,344261620.15,19.31,162.87,136.51,138.0,136.51,1.24,9.0,51.66,19.76,12769455600.0,4132032245.0,0.53,0.21,417.86,477.53
5,688108,赛诺医疗,8.87,16.1,1.23,396670.0,338119686.0,17.41,9.03,7.7,7.72,7.64,4.23,9.67,-56.09,4.36,3636700000.0,3636700000.0,0.11,0.0,40.57,55.34
6,300840,酷特智能,13.81,15.08,1.81,204565.0,277674972.52,14.67,14.35,12.59,12.6,12.0,4.72,13.26,28.4,2.99,3314400000.0,2131069615.0,0.22,0.15,28.58,54.65
7,300600,国瑞科技,14.01,13.63,1.68,373536.0,500971120.56,19.3,14.38,12.0,12.01,12.33,2.41,15.27,-177.31,4.8,4122225065.0,3428040507.0,1.23,0.29,67.78,89.84
8,300213,佳讯飞鸿,7.33,13.12,0.85,708438.0,529375293.5,18.21,7.75,6.57,6.6,6.48,3.62,12.86,-164.88,1.95,4351957074.0,4036765579.0,-0.14,-0.14,15.25,51.13
9,832662,方盛股份,9.48,12.86,1.08,34045.0,30732296.73,10.95,9.5,8.58,8.58,8.4,1.78,17.03,12.84,1.99,829974019.0,189540153.0,-0.21,0.42,16.32,40.24
10,300654,世纪天鸿,16.0,12.76,1.81,485789.0,746324647.12,17.9,16.5,13.96,13.97,14.19,1.4,15.21,184.0,7.46,5763015776.0,5109943824.0,-0.87,-0.93,158.48,170.73
11,872925,锦好医疗,18.28,12.35,2.01,9513.0,17061728.55,18.62,19.3,16.27,16.27,16.27,14.44,3.44,20.08,2.42,900747000.0,505770217.0,0.05,0.05,21.54,26.07
12,832225,利通科技,9.2,11.65,0.96,27627.0,24706771.05,13.96,9.47,8.32,8.4,8.24,6.31,4.79,9.33,1.93,973044854.0,530282066.0,-0.65,-1.18,20.26,56.2
13,300251,光线传媒,11.39,11.45,1.17,1209163.0,1283670288.27,17.12,11.45,9.7,10.0,10.22,2.72,4.34,68.47,3.98,33413800040.0,31746474002.0,-0.18,1.97,39.75,31.52
14,300426,唐德影视,18.0,10.63,1.73,344964.0,571203608.42,19.11,18.05,14.94,15.0,16.27,1.4,8.69,-118.53,70.97,7362082800.0,7144981524.0,0.9,1.64,152.81,160.49
15,301085,亚康股份,50.0,10.57,4.78,68474.0,332027334.36,11.81,51.14,45.8,47.51,45.22,2.34,21.52,47.71,5.0,4000000000.0,1591061150.0,-1.48,-0.6,39.08,79.47
16,300540,蜀道装备,20.92,10.4,1.97,61063.0,125899834.09,14.78,21.69,18.89,18.99,18.95,12.58,5.62,51.88,3.42,3361676494.0,2272161555.0,0.53,0.87,13.63,26.33
17,002131,利欧股份,2.48,10.22,0.23,4267795.0,1047627960.46,4.89,2.48,2.37,2.38,2.25,5.31,7.31,7.02,1.37,16751914428.0,14469697352.0,0.0,0.0,31.91,40.11
18,301128,强瑞技术,41.0,10.22,3.8,47574.0,189302989.09,10.75,42.0,38.0,38.0,37.2,1.54,17.45,858.93,3.68,3029351502.0,1117526709.0,-0.51,0.64,33.68,63.41
19,601326,秦港股份,3.7,10.12,0.34,1016466.0,365183238.0,7.14,3.7,3.46,3.54,3.36,5.37,2.14,12.37,1.16,20673424400.0,17602968300.0,0.0,0.0,31.21,34.55
20,600748,上实发展,3.94,10.06,0.36,304818.0,117819357.0,8.1,3.94,3.65,3.66,3.58,7.36,1.65,6.35,0.71,7267577794.0,7267577794.0,0.0,0.0,11.3,14.53
21,002423,中粮资本,8.21,10.05,0.75,363149.0,293084306.1,8.45,8.21,7.58,7.6,7.46,5.43,1.58,12.59,1.01,18916706771.0,18916706771.0,0.0,0.0,7.18,14.66
22,000928,中钢国际,9.75,10.05,0.89,820280.0,784083869.78,6.43,9.75,9.18,9.36,8.86,4.62,6.4,15.01,1.87,12490539740.0,12490311590.0,0.0,0.0,36.75,65.82
23,601949,中国出版,10.96,10.04,1.0,978297.0,1048053177.0,8.13,10.96,10.15,10.15,9.96,1.32,5.37,151.55,2.43,19974600000.0,19974600000.0,0.0,0.0,114.48,119.64
24,002491,通鼎互联,6.14,10.04,0.56,386306.0,233795006.72,5.73,6.14,5.82,5.83,5.58,2.0,3.28,15.84,3.22,7552166230.0,7223339273.0,0.0,0.0,24.8,35.24
25,601098,中南传媒,15.25,10.03,1.39,404583.0,593049494.0,9.02,15.25,14.0,14.0,13.86,1.97,2.25,19.71,1.83,27389000000.0,27389000000.0,0.13,0.46,53.11,52.81
26,000885,城发环境,12.95,10.03,1.18,94673.0,121012621.93,4.16,12.95,12.46,12.47,11.77,2.03,1.47,6.78,1.22,8314913402.0,8314913402.0,0.0,0.0,25.0,36.75
27,600228,返利科技,14.49,10.02,1.32,251302.0,361084232.0,4.4,14.49,13.91,14.2,13.17,1.35,9.01,-7841.58,9.35,10574767977.0,4039545804.0,0.0,0.0,90.91,102.37
28,002229,鸿博股份,19.43,10.02,1.77,733135.0,1392508689.68,6.51,19.43,18.28,18.4,17.66,1.03,14.87,-132.63,6.12,9682829030.0,9582182368.0,0.0,0.0,147.83,192.18
29,605100,华丰股份,14.93,10.02,1.36,23709.0,35047337.0,4.42,14.93,14.33,14.42,13.57,9.11,3.09,17.42,1.4,2537084760.0,1147101760.0,0.0,0.0,5.81,14.06
30,601900,南方传媒,20.31,10.02,1.85,690051.0,1379123544.0,4.93,20.31,19.4,19.97,18.46,1.93,7.7,20.38,2.44,18195253055.0,18195253055.0,0.0,0.0,139.5,144.4
31,002835,同为股份,15.7,10.02,1.43,102485.0,158713883.81,7.99,15.7,14.56,15.62,14.27,5.16,8.05,99.53,3.7,3446054717.0,1998326851.0,0.0,0.0,-20.18,50.24
32,600415,小商品城,10.65,10.02,0.97,2841749.0,2923763200.0,7.85,10.65,9.89,10.1,9.68,1.58,5.21,11.95,3.53,58426689974.0,58110529814.0,0.0,0.0,108.82,103.24
33,603798,康普顿,11.42,10.02,1.04,88985.0,99518132.0,8.19,11.42,10.57,10.69,10.38,10.48,4.45,16.59,2.02,2284000000.0,2284000000.0,0.0,0.0,-3.47,-0.7
34,002757,南兴股份,14.61,10.02,1.33,94941.0,136794918.25,4.52,14.61,14.01,14.02,13.28,1.41,3.39,13.19,1.74,4316610889.0,4087940721.0,0.0,0.0,4.13,34.65
35,002338,奥普光电,31.76,10.01,2.89,78003.0,243110800.08,7.97,31.76,29.46,29.56,28.87,2.66,3.25,90.29,6.58,7622400000.0,7622209440.0,0.0,0.0,22.86,42.49
36,600229,城市传媒,10.77,10.01,0.98,76036.0,81890761.0,0.0,10.77,10.77,10.77,9.79,0.46,1.13,18.67,2.34,7228910160.0,7228910160.0,0.0,0.0,44.37,52.33
37,002965,祥鑫科技,49.02,10.01,4.46,95281.0,462249648.54,3.86,49.02,47.3,48.99,44.56,2.92,8.25,26.63,3.11,8738699223.0,5664042273.0,0.0,0.0,-24.82,-15.79
38,000999,华润三九,64.85,10.01,5.9,95025.0,603438440.34,8.38,64.85,59.91,59.99,58.95,2.26,0.97,13.92,3.53,64094238100.0,63448935724.0,0.0,0.0,34.99,38.54
39,000951,中国重汽,16.05,10.01,1.46,280876.0,440887459.03,7.13,16.05,15.01,15.19,14.59,6.08,2.39,21.05,1.35,18856653228.0,18855152681.0,0.0,0.0,2.36,8.15
40,002577,雷柏科技,16.71,10.01,1.52,237579.0,391038526.8,8.95,16.71,15.35,15.95,15.19,4.59,8.4,265.08,4.16,4726924800.0,4726674150.0,0.0,0.0,27.27,49.2
41,002555,三七互娱,33.76,10.0,3.07,178557.0,602808702.08,0.0,33.76,33.76,33.76,30.69,0.41,1.09,24.17,5.77,74875098127.0,55215336592.0,0.0,0.0,56.22,86.52
42,603633,徕木股份,12.76,10.0,1.16,56053.0,70567216.0,5.69,12.76,12.1,12.21,11.6,1.59,1.71,52.05,2.23,4189312339.0,4189312339.0,0.0,0.0,-11.08,-12.42
43,603283,赛腾股份,51.04,10.0,4.64,43751.0,221497192.0,5.0,51.04,48.72,48.99,46.4,2.63,2.41,33.52,5.86,9735096434.0,9275021874.0,0.0,0.0,20.09,73.02
44,002912,中新赛克,42.35,10.0,3.85,63819.0,259287489.4,11.19,42.35,38.04,41.09,38.5,2.46,3.93,30.81,4.5,7277073257.0,6870102166.0,0.0,0.0,7.3,33.85
45,002527,新时达,7.04,10.0,0.64,156706.0,108809526.58,5.16,7.04,6.71,6.78,6.4,6.05,2.99,8.97,2.3,4667416449.0,3690969096.0,0.0,0.0,-7.37,15.41
46,001209,洪兴股份,15.29,10.0,1.39,54195.0,81668991.72,6.4,15.29,14.4,14.5,13.9,14.2,13.45,16.43,1.59,2010982389.0,616001364.0,0.0,0.0,-2.61,12.76
47,002315,焦点科技,37.52,10.0,3.41,196902.0,724298048.64,6.68,37.52,35.24,35.25,34.11,1.28,10.11,60.1,5.78,11679870831.0,7305024649.0,0.0,0.0,86.3,119.29
48,600329,达仁堂,47.32,10.0,4.3,45870.0,214296564.0,6.09,47.32,44.7,45.8,43.02,1.84,0.81,22.83,5.3,36599326356.0,26776877356.0,0.0,0.0,47.88,62.61
49,600639,浦东金桥,12.88,9.99,1.17,203664.0,260687411.0,4.27,12.88,12.38,12.51,11.71,11.43,2.4,2.63,1.01,14456678062.0,10951048735.0,0.0,0.0,10.37,16.04
50,603877,太平鸟,24.77,9.99,2.25,44495.0,107326872.0,8.93,24.77,22.76,22.76,22.52,3.56,0.94,13.58,2.73,11801623425.0,11707938950.0,0.0,0.0,29.01,34.69
51,603556,海兴电力,23.78,9.99,2.16,59168.0,138683215.0,7.72,23.78,22.11,22.11,21.62,4.46,1.21,16.51,1.89,11620906471.0,11620906471.0,0.0,0.0,29.66,35.11
52,603533,掌阅科技,27.42,9.99,2.49,165893.0,452334541.0,5.82,27.42,25.97,26.0,24.93,1.97,3.78,451.15,4.66,12034551216.0,12034551216.0,0.0,0.0,58.22,89.23
53,000989,九 芝 堂,14.43,9.98,1.31,340665.0,472608117.61,10.9,14.43,13.0,13.07,13.12,2.57,5.18,19.08,2.98,12351243233.0,9494803680.0,0.0,0.0,56.0,63.79
54,603101,汇嘉时代,5.95,9.98,0.54,73873.0,43383915.0,4.62,5.95,5.7,5.75,5.41,7.14,1.57,7.77,2.01,2798880000.0,2798880000.0,0.0,0.0,3.12,-5.85
55,601928,凤凰传媒,15.1,9.98,1.37,490717.0,731169982.0,7.87,15.1,14.02,14.14,13.73,1.33,1.93,19.89,2.17,38427990000.0,38427990000.0,0.0,0.0,87.58,90.66
56,601801,皖新传媒,8.71,9.97,0.79,270406.0,234877859.0,2.02,8.71,8.55,8.61,7.92,0.9,1.36,12.82,1.5,17325973259.0,17325973259.0,0.0,0.0,56.94,67.18
57,603042,华脉科技,13.01,9.97,1.18,116969.0,146495971.0,10.65,13.01,11.75,11.75,11.83,3.88,7.28,-26.47,2.19,2089273818.0,2089273818.0,0.0,0.0,22.74,41.88
58,600020,中原高速,3.75,9.97,0.34,670099.0,249325351.0,6.74,3.75,3.52,3.66,3.41,15.26,2.98,5.46,0.79,8427644370.0,8427644370.0,0.0,0.0,20.97,26.69
59,000517,荣安地产,3.09,9.96,0.28,409447.0,125072449.23,4.27,3.09,2.97,2.99,2.81,6.02,1.64,3.79,1.0,9838320479.0,7700238025.0,0.0,0.0,-3.44,4.75
60,600757,长江传媒,10.49,9.96,0.95,84987.0,89151877.0,0.0,10.49,10.49,10.49,9.54,0.36,0.7,8.25,1.44,12731191364.0,12729584610.0,0.0,0.0,81.17,84.04
61,600215,派斯林,6.85,9.95,0.62,179742.0,122176689.0,5.62,6.85,6.5,6.6,6.23,17.01,3.87,17.14,1.88,3185475228.0,3185475228.0,0.0,0.0,-0.44,19.34
62,002291,遥望科技,21.88,9.95,1.98,898386.0,1939592608.84,4.47,21.89,21.0,21.8,19.9,1.91,10.66,-131.07,3.86,19941688806.0,18446638492.0,-0.05,0.0,42.17,68.31
63,002027,分众传媒,7.08,9.94,0.64,3973122.0,2791915683.76,4.81,7.08,6.77,6.78,6.44,4.51,2.75,27.16,5.72,102250774060.0,102250774060.0,0.0,0.0,4.42,8.26
64,600750,江中药业,25.67,9.94,2.32,171123.0,421862201.0,11.99,25.69,22.89,23.01,23.35,2.18,2.74,16.78,3.91,16160521752.0,16010377922.0,0.04,-0.04,68.0,77.65
65,002351,漫步者,22.03,9.93,1.99,507511.0,1085954285.55,8.38,22.04,20.36,20.88,20.04,2.45,10.32,64.26,8.25,19587027210.0,10836719361.0,-0.05,0.05,114.3,148.09
66,601333,广深铁路,2.99,9.93,0.27,2641591.0,777600111.0,6.25,2.99,2.82,2.88,2.72,9.34,4.67,13.07,0.82,21179775630.0,16900188630.0,0.0,0.0,36.53,31.72
67,601086,国芳集团,4.43,9.93,0.4,182222.0,79033045.0,7.94,4.43,4.11,4.13,4.03,7.8,2.74,10.07,1.82,2950380000.0,2950380000.0,0.0,0.0,4.98,-1.56
68,000338,潍柴动力,12.66,9.9,1.14,1251577.0,1556445147.23,6.51,12.67,11.92,11.92,11.52,9.69,2.48,14.88,1.46,110478209354.0,63911859547.0,0.0,0.0,9.33,24.36
69,002269,美邦服饰,1.78,9.88,0.16,483319.0,84579320.38,7.41,1.78,1.66,1.67,1.62,3.48,1.92,25.51,15.39,4472250000.0,4472250000.0,0.0,0.0,-7.77,-11.88
70,300868,杰美特,17.34,9.82,1.55,21549.0,35690923.89,11.08,17.36,15.61,15.69,15.79,3.57,3.56,-59.24,1.37,2219520000.0,1050062888.0,0.93,2.18,5.15,13.56
71,600180,瑞茂通,6.61,9.8,0.59,297014.0,191660293.0,9.63,6.62,6.04,6.05,6.02,9.4,2.82,8.54,0.91,6953075287.0,6953075287.0,0.76,-0.15,8.9,16.78
72,600373,中文传媒,19.59,9.69,1.73,683291.0,1312291451.0,8.12,19.65,18.2,18.2,17.86,1.61,5.04,15.51,1.48,26545698255.0,26545698255.0,-0.05,-0.2,99.49,104.7
73,600425,青松建化,5.21,9.68,0.46,1269683.0,646781608.0,9.68,5.23,4.77,4.77,4.75,4.24,9.21,295.09,1.41,8360506313.0,7183496348.0,0.0,-0.38,28.01,41.19
74,002737,葵花药业,28.88,9.6,2.53,186717.0,525714194.01,10.02,28.99,26.35,26.36,26.35,2.98,3.2,10.38,3.65,16865920000.0,16865920000.0,0.63,-0.38,19.49,24.59
75,601858,中国科传,45.49,9.54,3.96,297357.0,1317130887.0,8.33,45.63,42.17,43.33,41.53,1.35,3.76,210.33,7.38,35959845000.0,35959845000.0,0.4,0.35,266.85,320.81
76,601019,山东出版,12.68,9.5,1.1,703394.0,865038048.0,11.92,12.74,11.36,11.56,11.58,2.27,3.37,31.26,1.95,26461892000.0,26461892000.0,0.32,0.63,95.08,101.91
77,603103,横店影视,17.78,9.48,1.54,90515.0,154790469.0,8.93,17.85,16.4,16.68,16.24,4.51,1.43,18.88,8.52,11276076000.0,11276076000.0,-0.34,0.17,26.1,20.62
78,688018,乐鑫科技,127.78,9.4,10.98,13335.0,164990145.0,7.71,127.89,118.88,119.46,116.8,2.5,1.65,82.96,5.56,10315833630.0,10315833630.0,-0.07,0.3,11.57,41.74
79,600612,老凤祥,73.62,9.36,6.3,63105.0,459562183.0,4.55,74.05,70.99,71.33,67.32,8.06,1.99,13.45,3.55,38511929786.0,23345610961.0,0.16,-0.32,56.31,72.01
80,603590,康辰药业,39.38,9.27,3.34,33041.0,128695653.0,8.3,39.5,36.51,37.56,36.04,3.38,2.07,61.37,2.08,6300800000.0,6300800000.0,0.36,-0.05,39.35,57.9
81,600551,时代出版,14.42,9.16,1.21,182484.0,252627121.0,10.6,14.47,13.07,13.18,13.21,3.04,3.77,20.13,1.31,6983968966.0,6983968966.0,-0.07,0.14,35.15,41.65
82,600422,昆药集团,23.01,9.0,1.9,205660.0,462984417.0,11.08,23.22,20.88,21.12,21.11,2.64,2.72,33.28,3.41,17444519965.0,17418012169.0,0.35,0.35,33.39,62.96
83,300624,万兴科技,153.03,9.0,12.63,112987.0,1660070571.45,8.46,153.38,141.5,146.0,140.4,1.48,9.72,245.15,22.97,20450978935.0,17795767647.0,0.76,1.75,282.96,421.22
84,603027,千禾味业,25.85,8.8,2.09,290760.0,748310102.0,4.76,26.14,25.01,25.01,23.76,4.71,3.03,42.96,9.93,24957363052.0,24778222552.0,0.23,0.62,12.54,24.4
85,300139,晓程科技,10.08,8.74,0.81,278967.0,283003385.6,8.85,10.56,9.74,9.77,9.27,2.56,11.94,-38.43,2.74,2761920000.0,2355209388.0,-0.1,0.0,17.48,31.59
86,600088,中视传媒,12.9,8.68,1.03,187254.0,233503147.0,7.92,12.95,12.01,12.02,11.87,2.61,4.71,337.7,5.06,5130412560.0,5130412560.0,2.06,2.46,33.4,30.57
87,873593,鼎智科技,69.51,8.61,5.51,18569.0,125286172.02,11.22,70.4,63.22,66.0,64.0,1.63,10.34,21.36,5.18,3217356473.0,1248765292.0,-0.76,-0.81,-65.15,-65.15
88,688566,吉贝尔,32.29,8.5,2.53,23105.0,72724469.0,11.73,32.99,29.5,29.8,29.76,2.61,2.86,39.7,3.49,6036344264.0,2606946066.0,-0.15,-0.12,33.93,50.75
89,600072,中船科技,22.88,8.49,1.79,987577.0,2211753273.0,10.43,23.2,21.0,21.0,21.09,1.82,13.41,241.62,4.17,16845397323.0,16845397323.0,0.04,-0.74,81.16,92.27
90,000783,长江证券,6.15,8.47,0.48,1450551.0,883241284.32,7.58,6.23,5.8,5.85,5.67,10.77,2.62,11.25,1.11,34009239302.0,34009239302.0,0.0,-0.16,5.85,15.38
91,300491,通合科技,27.11,8.44,2.11,197836.0,526466141.76,16.8,28.81,24.61,25.38,25.0,2.24,12.86,74.56,4.57,4702316225.0,4171237560.0,0.04,-0.04,41.49,96.16
92,301052,果麦文化,68.2,8.37,5.27,97066.0,672751630.59,14.41,74.66,65.59,66.0,62.93,2.24,17.62,90.84,7.98,4959586999.0,3757463109.0,0.15,1.79,165.58,207.35
93,300235,方直科技,21.24,8.37,1.64,239546.0,477544507.45,12.14,21.38,19.0,19.1,19.6,1.97,17.84,76.43,5.13,3564732352.0,2852078781.0,0.14,1.19,69.11,104.62
94,002275,桂林三金,20.63,8.29,1.58,55641.0,110677517.05,10.39,20.78,18.8,18.95,19.05,2.27,1.01,17.91,4.05,12121540218.0,11383794213.0,0.1,0.1,49.71,56.05
95,601601,中国太保,33.79,8.27,2.58,500610.0,1633553371.0,10.38,33.96,30.72,31.5,31.21,2.32,0.73,6.99,1.31,325071337764.0,231293950764.0,0.0,-0.03,32.51,37.81
96,301205,联特科技,140.55,8.27,10.73,58401.0,806204686.45,8.09,142.5,132.0,132.02,129.82,1.74,32.41,95.64,7.05,10130844000.0,2532711000.0,0.66,0.98,233.53,270.94
97,002133,广宇集团,3.42,8.23,0.26,285762.0,96769343.72,4.43,3.44,3.3,3.33,3.16,7.68,3.71,7.93,0.65,2647573079.0,2632956087.0,0.29,0.0,-4.74,-2.56
98,300113,顺网科技,17.78,8.22,1.35,903044.0,1560395979.05,10.71,18.36,16.6,17.33,16.43,5.47,13.01,75.29,6.56,12344427127.0,12339510851.0,-0.22,-0.11,49.66,70.8
99,002712,思美传媒,9.64,8.19,0.73,493241.0,456734240.26,9.32,9.65,8.82,9.01,8.91,1.22,9.17,721.73,3.37,5246822549.0,5182884728.0,0.84,1.26,75.91,93.57
100,002867,周大生,18.3,8.16,1.38,234824.0,427654071.49,6.32,18.58,17.51,17.51,16.92,4.83,2.17,13.72,3.13,20055450650.0,19829472258.0,0.11,0.05,23.98,30.43
101,300818,耐普矿机,24.28,8.15,1.83,31615.0,74819907.5,9.22,24.28,22.21,22.58,22.45,3.3,5.09,-49.22,2.27,2549627455.0,1508325049.0,0.79,1.21,9.32,26.52
102,603999,读者传媒,8.52,8.12,0.64,484647.0,395790872.0,11.29,8.6,7.71,7.71,7.88,1.92,8.41,161.33,2.62,4907520000.0,4907520000.0,0.95,0.0,43.19,44.9
103,600350,山东高速,7.8,8.03,0.58,199541.0,151983968.0,6.09,7.84,7.4,7.4,7.22,2.94,0.41,11.61,1.24,37652256977.0,37652256977.0,-0.26,0.0,32.43,37.08
104,600637,东方明珠,8.89,8.02,0.66,753721.0,652050633.0,6.44,8.9,8.37,8.38,8.23,2.79,2.21,29.86,1.02,30354906787.0,30354906787.0,0.34,0.45,31.51,33.68
105,000997,新 大 陆,17.27,8.01,1.28,338780.0,585927087.66,4.32,17.59,16.9,17.0,15.99,5.18,3.3,14.89,3.03,17823726922.0,17725257078.0,-0.06,0.23,17.72,32.74
106,600085,同仁堂,62.78,7.94,4.62,182884.0,1140637032.0,7.57,63.98,59.58,59.97,58.16,3.0,1.33,41.13,7.0,86100903048.0,86100903048.0,-0.14,-0.44,35.92,40.51
107,002760,凤形股份,27.52,7.92,2.02,91992.0,244773433.66,10.04,27.86,25.3,25.43,25.5,5.54,10.46,54.85,2.97,2971849189.0,2421235194.0,0.15,0.4,18.62,34.24
108,301277,新天地,34.89,7.82,2.53,55883.0,189904618.84,9.55,35.59,32.5,32.59,32.36,2.17,17.66,24.9,3.48,4652930400.0,1103876755.0,-0.14,-0.23,6.02,20.85
109,605287,德才股份,24.97,7.77,1.8,36912.0,91760112.0,6.0,25.4,24.01,24.03,23.17,10.51,5.88,13.16,1.43,2497000000.0,1568762948.0,-0.16,-0.08,2.67,11.52
110,600629,华建集团,10.5,7.69,0.75,686903.0,683459079.0,10.77,10.6,9.55,9.56,9.75,1.44,7.27,28.93,2.21,10194899694.0,9918919017.0,0.1,-0.47,121.05,139.18
111,600017,日照港,3.23,7.67,0.23,858071.0,268879291.0,8.67,3.25,2.99,2.99,3.0,5.5,2.79,11.27,0.72,9934362058.0,9934362058.0,0.62,0.31,13.73,14.54
112,300315,掌趣科技,6.63,7.63,0.47,6362186.0,4227763336.51,7.47,6.88,6.42,6.71,6.16,4.36,24.41,57.75,3.97,18282120193.0,17281203447.0,0.15,-0.3,86.76,106.54
113,600398,海澜之家,6.94,7.6,0.49,331443.0,224380315.0,8.22,6.98,6.45,6.48,6.45,2.99,0.77,9.33,2.02,29978076640.0,29978076640.0,0.29,0.29,32.19,30.94
114,603778,乾景园林,5.68,7.58,0.4,298710.0,165890553.0,8.71,5.71,5.25,5.28,5.28,3.17,4.65,78.63,3.54,3651428567.0,3651428567.0,0.18,0.18,-20.11,-17.92
115,603689,皖天然气,8.39,7.56,0.59,138859.0,114560084.0,6.54,8.41,7.9,8.2,7.8,13.21,2.95,9.56,1.43,4012295190.0,3946718950.0,0.12,0.0,2.32,6.74
116,603808,歌力思,13.0,7.53,0.91,102690.0,131554312.0,8.93,13.28,12.2,12.23,12.09,6.82,2.78,25.37,1.69,4798207414.0,4798207414.0,-0.08,-0.31,25.73,42.86
117,600016,民生银行,3.9,7.44,0.27,3237131.0,1238873888.0,7.99,3.94,3.65,3.66,3.63,8.45,0.91,3.0,0.33,170751432158.0,138302280531.0,-0.26,0.0,13.04,13.04
118,603322,超讯通信,32.16,7.41,2.22,122501.0,379703553.0,10.02,32.25,29.25,30.95,29.94,1.37,7.87,-63.57,24.48,5072243040.0,5006829600.0,0.37,0.37,89.62,97.3
119,600129,太极集团,53.05,7.41,3.66,112732.0,580534237.0,8.77,53.33,49.0,49.99,49.39,3.36,2.02,31.43,8.98,29543053969.0,29543053969.0,-0.08,0.38,57.98,76.48
120,603825,华扬联众,15.22,7.41,1.05,160337.0,240952488.0,11.5,15.59,13.96,14.12,14.17,3.74,6.33,294.72,2.46,3855782321.0,3855782321.0,0.2,0.26,-2.75,7.33
121,600728,佳都科技,7.54,7.41,0.52,1012083.0,760940285.0,8.55,7.68,7.08,7.14,7.02,6.11,5.83,3.01,1.87,16243660000.0,13099448724.0,0.27,0.4,24.83,42.8
122,600886,国投电力,12.66,7.38,0.87,435396.0,543644417.0,8.99,12.8,11.74,11.81,11.79,5.42,0.63,14.62,1.87,94369916230.0,88187956573.0,0.0,0.48,21.61,16.9
123,300154,瑞凌股份,7.43,7.37,0.51,228739.0,168227751.57,8.82,7.6,6.99,6.99,6.92,6.36,7.16,22.3,1.99,3386914976.0,2373353384.0,0.41,0.81,16.46,32.68
124,430139,华岭股份,10.22,7.35,0.7,4646.0,4617536.02,5.25,10.25,9.75,9.76,9.52,1.99,0.37,38.93,2.61,2726696000.0,1273230248.0,0.79,1.69,-2.67,6.9
125,839167,同享科技,12.27,7.35,0.84,4377.0,5261577.68,7.0,12.3,11.5,11.5,11.43,10.54,0.67,15.84,2.8,1341356400.0,798869025.0,0.0,0.0,-19.33,-6.05
126,603040,新坐标,22.14,7.27,1.5,70708.0,154315880.0,8.38,22.68,20.95,22.68,20.64,12.5,5.28,15.6,2.57,2993826349.0,2966518873.0,0.09,-0.05,13.42,29.63
127,300770,新媒股份,52.69,7.18,3.53,108309.0,541949281.96,9.97,52.7,47.8,49.5,49.16,1.9,4.69,17.86,3.35,12174453713.0,12174347015.0,0.44,1.13,32.09,39.91
128,603630,拉芳家化,14.95,7.09,0.99,74682.0,111161332.0,4.87,15.19,14.51,14.56,13.96,10.6,3.32,23.13,1.71,3366808471.0,3366808471.0,0.07,0.07,0.27,-4.72
129,603278,大业股份,8.31,7.09,0.55,143543.0,121356613.0,7.09,8.54,7.99,7.99,7.76,14.08,4.98,17.97,1.46,2408339191.0,2395734998.0,0.0,0.12,10.36,20.78
130,688208,道通科技,31.13,7.05,2.05,106871.0,331449046.0,6.29,31.56,29.73,29.78,29.08,2.4,2.37,48.86,4.68,14066787625.0,14066787625.0,0.03,0.39,-25.33,-1.33
131,603518,锦泓集团,10.8,7.04,0.71,163194.0,170381652.0,7.23,10.82,10.09,10.09,10.09,2.52,4.7,9.14,1.19,3749868356.0,3749868356.0,0.56,0.37,50.84,61.19
132,600211,西藏药业,63.28,6.98,4.13,69570.0,428355283.0,9.81,64.0,58.2,60.1,59.15,2.86,2.81,12.94,4.97,15689506705.0,15689506705.0,-0.46,-0.24,38.08,79.93
133,300001,特锐德,19.77,6.98,1.29,439411.0,860959051.99,7.09,20.31,19.0,19.01,18.48,1.69,4.27,253.18,3.25,20574850796.0,20322498746.0,-0.2,0.15,15.14,29.98
134,300987,川网传媒,26.07,6.93,1.69,202847.0,510406116.47,13.33,26.81,23.56,23.81,24.38,2.48,21.27,180.53,5.56,4519703760.0,2486243760.0,0.97,0.27,53.17,74.5
135,833394,民士达,13.27,6.93,0.86,44241.0,55422015.43,12.09,13.53,12.03,12.33,12.41,0.82,12.53,27.79,3.45,1871070000.0,468563700.0,0.0,-1.19,-33.91,-33.91
136,000558,莱茵体育,2.94,6.91,0.19,522693.0,153943473.75,6.55,3.01,2.83,2.84,2.75,5.23,4.06,147.99,3.47,3790318410.0,3788547198.0,0.34,-0.34,4.63,2.08
137,600977,中国电影,17.26,6.87,1.11,461458.0,746954234.0,12.69,17.45,15.4,15.81,16.15,2.09,2.47,44.35,2.93,32224420000.0,32224420000.0,-0.46,1.29,36.12,26.91
