序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4608,603477,巨星农牧,29.27,-2.53,-0.76,66113.0,194909261.0,4.2,30.33,29.07,30.33,30.03,1.8,1.37,-18.01,4.61,14813485767.0,14100347887.0,-0.17,-0.64,8.85,20.01
4609,688046,药康生物,21.92,-2.53,-0.57,10437.0,23403465.0,6.05,23.18,21.82,22.67,22.49,1.81,0.71,72.36,4.47,8987200000.0,3226865887.0,0.0,-0.36,-25.87,-8.86
4610,301106,骏成科技,29.22,-2.54,-0.76,3666.0,10809046.0,3.64,30.19,29.1,29.98,29.98,1.05,1.76,45.78,1.93,2120982439.0,609139610.0,0.14,0.41,-5.25,7.58
4611,600827,百联股份,13.01,-2.55,-0.34,118927.0,154332111.0,3.3,13.25,12.81,13.07,13.35,2.24,0.74,27.43,1.3,23212027202.0,20873893459.0,0.08,0.0,10.72,7.34
4612,300720,海川智能,11.09,-2.55,-0.29,13963.0,15750747.8,4.39,11.5,11.0,11.34,11.38,4.02,0.81,103.76,3.67,2161188769.0,1911010513.0,0.0,0.0,-19.81,-15.28
4613,300525,博思软件,19.1,-2.55,-0.5,45406.0,87735199.6,4.18,19.85,19.03,19.68,19.6,0.53,0.92,-50.13,5.62,11712870630.0,9452102778.0,0.0,0.16,-13.26,-3.54
4614,002986,宇新股份,26.67,-2.56,-0.7,9809.0,26421586.44,4.68,27.68,26.4,27.55,27.37,2.07,0.66,14.2,2.37,6084797838.0,3980734863.0,0.53,0.49,9.53,22.68
4615,688601,力芯微,73.86,-2.56,-1.94,4206.0,31224288.0,2.96,75.79,73.55,74.88,75.8,0.83,0.89,59.82,5.85,6617856000.0,3489146400.0,0.0,0.15,3.74,30.98
4616,301366,一博科技,53.21,-2.56,-1.4,3996.0,21576798.52,3.86,55.29,53.18,54.62,54.61,0.77,2.05,49.39,2.1,4434166702.0,1037103712.0,0.02,0.02,5.45,13.45
4617,002336,人人乐,12.16,-2.56,-0.32,44336.0,54623432.27,4.01,12.64,12.14,12.45,12.48,0.94,1.19,-13.57,443.53,5350400000.0,4537808000.0,0.0,-0.16,-11.11,-35.18
4618,002111,威海广泰,9.1,-2.57,-0.24,38885.0,35823879.84,2.68,9.35,9.1,9.33,9.34,0.97,0.82,39.74,1.59,4863717996.0,4326241975.0,0.0,-0.22,-17.2,-8.73
4619,301333,诺思格,101.32,-2.58,-2.68,2294.0,23388996.0,4.63,104.22,99.41,99.41,104.0,1.06,1.53,52.78,3.76,6079200000.0,1519800000.0,0.27,0.32,-10.73,23.05
4620,002021,*ST中捷,1.89,-2.58,-0.05,128882.0,24436452.97,3.61,1.93,1.86,1.92,1.94,2.96,1.87,361.07,-4.39,1299970426.0,1299927901.0,0.0,0.0,-10.85,-3.57
4621,688381,帝奥微,36.63,-2.58,-0.97,12487.0,46017469.0,3.43,37.79,36.5,37.36,37.6,0.86,2.1,231.29,2.94,9238086000.0,2182802652.0,-0.33,0.03,-24.19,-7.78
4622,300895,铜牛信息,33.59,-2.58,-0.89,26409.0,89134645.05,4.32,34.79,33.3,34.12,34.48,0.98,4.39,-1717.79,3.96,4299540087.0,2020367894.0,0.12,0.12,3.77,21.13
4623,002903,宇环数控,23.33,-2.59,-0.62,28272.0,66946003.86,3.92,24.18,23.24,23.66,23.95,0.79,2.86,45.2,4.53,3551852520.0,2308571344.0,-0.04,0.3,4.43,16.71
4624,301356,天振股份,43.26,-2.59,-1.15,9323.0,40662049.6,2.18,44.1,43.13,44.09,44.41,1.2,3.28,27.21,1.49,5191200000.0,1230652390.0,0.14,0.14,-17.9,-4.55
4625,300896,爱美客,529.87,-2.59,-14.1,6256.0,335512231.26,3.33,547.98,529.87,543.98,543.97,0.81,0.71,69.22,18.34,114642673200.0,46547582087.0,-0.23,-0.25,-11.09,-6.44
4626,300725,药石科技,54.43,-2.59,-1.45,28261.0,155526459.96,3.87,56.31,54.15,55.64,55.88,0.71,1.68,47.04,4.19,10867730244.0,9168897062.0,0.44,0.37,-35.5,-32.39
4627,688466,金科环境,18.39,-2.6,-0.49,10627.0,19774958.0,3.34,18.9,18.27,18.84,18.88,1.52,2.3,63.34,1.75,1889756400.0,848422650.0,-0.05,-0.05,9.73,21.79
4628,688439,振华风光,112.01,-2.6,-2.99,5977.0,67785319.0,6.06,117.27,110.3,115.47,115.0,0.93,1.33,43.5,5.22,22402000000.0,5017365523.0,0.55,0.77,-7.94,-5.78
4629,603160,汇顶科技,50.55,-2.6,-1.35,27800.0,141864846.0,3.2,51.95,50.29,51.5,51.9,1.22,0.61,-41.7,3.02,23155657938.0,23151553278.0,0.2,0.28,-6.61,0.7
4630,300311,任子行,6.35,-2.61,-0.17,192906.0,123672307.1,4.29,6.58,6.3,6.54,6.52,1.51,3.59,-18.3,5.62,4277551453.0,3412547741.0,0.32,0.47,-11.56,4.44
4631,000703,恒逸石化,7.47,-2.61,-0.2,108363.0,81109934.84,2.22,7.61,7.44,7.6,7.67,0.48,0.3,196.49,1.17,27387235094.0,27244024549.0,0.27,0.27,-4.35,6.26
4632,603629,利通电子,19.0,-2.61,-0.51,35469.0,66216803.0,8.97,19.4,17.65,19.4,19.51,1.25,1.95,59.33,2.1,3458000000.0,3458000000.0,0.37,-0.11,1.77,9.38
4633,300597,吉大通信,8.55,-2.62,-0.23,33380.0,28957000.0,3.99,8.88,8.53,8.75,8.78,1.23,1.52,113.53,2.17,2330473757.0,1875167694.0,0.0,0.0,0.0,14.0
4634,300080,易成新能,5.2,-2.62,-0.14,273732.0,143559952.1,3.75,5.36,5.16,5.3,5.34,2.37,2.24,59.84,1.94,11315977015.0,6353372464.0,0.0,0.19,-13.19,11.59
4635,002995,天地在线,25.59,-2.63,-0.69,50112.0,128471549.66,4.6,26.41,25.2,26.35,26.28,1.15,8.68,-61.97,3.16,3243614388.0,1477993492.0,0.2,0.59,-16.86,-4.12
4636,002156,通富微电,17.42,-2.63,-0.47,248616.0,438445459.1,3.07,17.94,17.39,17.7,17.89,1.2,1.87,1447.94,1.91,26360582426.0,23148929127.0,-0.17,0.11,-10.67,5.7
4637,688113,联测科技,45.52,-2.63,-1.23,664.0,3040461.0,4.53,47.12,45.0,46.14,46.75,0.95,0.16,62.3,3.68,2899624000.0,1837974696.0,0.11,0.07,-1.47,9.13
4638,300861,美畅股份,44.39,-2.63,-1.2,28408.0,127866863.84,3.36,45.87,44.34,44.88,45.59,1.25,1.17,14.05,3.9,21307732680.0,10739718686.0,-0.16,0.07,-16.53,-9.7
4639,300605,恒锋信息,14.05,-2.63,-0.38,25576.0,36185544.44,3.81,14.48,13.93,14.43,14.43,1.0,2.27,137.75,4.18,2310704925.0,1582914799.0,0.29,0.21,-9.06,2.18
4640,603936,博敏电子,11.83,-2.63,-0.32,102530.0,123444727.0,4.03,12.29,11.8,12.17,12.15,1.05,2.01,89.89,1.46,7547813320.0,6045273108.0,0.0,0.0,-19.85,-3.19
4641,688048,长光华芯,90.55,-2.63,-2.45,6451.0,59007424.0,3.52,93.6,90.33,92.75,93.0,0.95,1.36,2083.98,3.79,12278576016.0,4290489269.0,0.04,-0.17,-19.92,-6.41
4642,300551,古鳌科技,17.72,-2.64,-0.48,69824.0,124857648.9,6.15,18.6,17.48,18.4,18.2,0.83,2.97,-101.39,5.79,6126742079.0,4172246227.0,0.0,0.17,1.72,51.71
4643,301139,元道通信,28.42,-2.64,-0.77,8105.0,23292061.0,3.36,29.36,28.38,28.92,29.19,1.13,2.67,40.33,1.85,3455326336.0,863968000.0,0.04,0.07,2.19,11.58
4644,688117,圣诺生物,31.0,-2.64,-0.84,13427.0,42201790.0,4.27,32.18,30.82,31.88,31.84,0.49,2.89,44.18,2.95,2480000000.0,1442191300.0,0.32,0.26,18.23,39.51
4645,002908,德生科技,20.28,-2.64,-0.55,50770.0,103511647.05,2.98,20.8,20.18,20.73,20.83,0.57,2.37,100.66,5.47,6259368055.0,4337642921.0,-0.05,-0.1,11.43,29.17
4646,002690,美亚光电,26.43,-2.65,-0.72,41064.0,109230795.36,2.84,27.04,26.27,27.0,27.15,1.81,0.95,46.64,8.37,23324023047.0,11426664848.0,0.19,0.23,-2.97,10.59
4647,300672,国科微,99.1,-2.65,-2.7,44645.0,443223564.6,4.73,101.48,96.66,99.92,101.8,0.82,2.56,119.43,5.28,21529486099.0,17272030287.0,-0.23,-0.04,7.95,16.52
4648,003002,壶化股份,17.95,-2.66,-0.49,13143.0,24000036.0,3.58,18.61,17.95,18.08,18.44,1.4,1.68,83.72,3.13,3590000000.0,1405388070.0,-0.17,-0.17,-10.7,-2.45
